model name,f1_score,precision_score,recall_score,subject
Morgan FP + Ridge Classifier,0.8571428571428571,1.0,0.75,cv_2_task_0
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_1
Morgan FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_2
Morgan FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_2_task_3
Morgan FP + Ridge Classifier,0.8,1.0,0.6666666666666666,cv_2_task_4
Morgan FP + Ridge Classifier,0.4,0.5,0.3333333333333333,cv_2_task_5
Morgan FP + Ridge Classifier,0.6666666666666666,0.7777777777777778,0.5833333333333334,cv_2_task_6
Morgan FP + Ridge Classifier,0.625,1.0,0.45454545454545453,cv_2_task_7
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_8
Morgan FP + Ridge Classifier,0.6,0.6666666666666666,0.5454545454545454,cv_2_task_9
Morgan FP + Ridge Classifier,0.6,0.6,0.6,cv_2_task_10
Morgan FP + Ridge Classifier,0.787878787878788,0.7647058823529411,0.8125,cv_2_task_11
Morgan FP + Ridge Classifier,0.9736842105263158,0.9736842105263158,0.9736842105263158,cv_2_task_12
Morgan FP + Ridge Classifier,0.9850746268656716,0.9705882352941176,1.0,cv_2_task_13
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_2_task_14
Morgan FP + Ridge Classifier,0.962962962962963,1.0,0.9285714285714286,cv_3_task_0
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_1
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_2
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_3
Morgan FP + Ridge Classifier,0.9090909090909091,0.8333333333333334,1.0,cv_3_task_4
Morgan FP + Ridge Classifier,0.4444444444444444,0.6666666666666666,0.3333333333333333,cv_3_task_5
Morgan FP + Ridge Classifier,0.8421052631578948,0.8888888888888888,0.8,cv_3_task_6
Morgan FP + Ridge Classifier,0.8000000000000002,0.8,0.8,cv_3_task_7
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_3_task_8
Morgan FP + Ridge Classifier,0.7142857142857143,0.625,0.8333333333333334,cv_3_task_9
Morgan FP + Ridge Classifier,0.7272727272727272,0.8,0.6666666666666666,cv_3_task_10
Morgan FP + Ridge Classifier,0.9230769230769231,0.9473684210526315,0.9,cv_3_task_11
Morgan FP + Ridge Classifier,0.9782608695652174,1.0,0.9574468085106383,cv_3_task_12
Morgan FP + Ridge Classifier,0.9824561403508771,1.0,0.9655172413793104,cv_3_task_13
Morgan FP + Ridge Classifier,0.9411764705882353,1.0,0.8888888888888888,cv_3_task_14
Morgan FP + Ridge Classifier,0.8421052631578948,0.8888888888888888,0.8,cv_4_task_0
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_1
Morgan FP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_2
Morgan FP + Ridge Classifier,0.9090909090909091,1.0,0.8333333333333334,cv_4_task_3
Morgan FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_4_task_4
Morgan FP + Ridge Classifier,0.33333333333333337,1.0,0.2,cv_4_task_5
Morgan FP + Ridge Classifier,0.9090909090909091,0.8333333333333334,1.0,cv_4_task_6
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_7
Morgan FP + Ridge Classifier,1.0,1.0,1.0,cv_4_task_8
Morgan FP + Ridge Classifier,0.923076923076923,1.0,0.8571428571428571,cv_4_task_9
Morgan FP + Ridge Classifier,0.5714285714285715,1.0,0.4,cv_4_task_10
Morgan FP + Ridge Classifier,0.8181818181818182,0.75,0.9,cv_4_task_11
Morgan FP + Ridge Classifier,0.904109589041096,0.9428571428571428,0.868421052631579,cv_4_task_12
Morgan FP + Ridge Classifier,0.9629629629629629,0.975,0.9512195121951219,cv_4_task_13
Morgan FP + Ridge Classifier,0.9473684210526316,1.0,0.9,cv_4_task_14
Neural NPFP + MLPs (Classifier Chain),0.8799999999999999,0.8461538461538461,0.9166666666666666,cv_0_task_0
Neural NPFP + MLPs (Classifier Chain),1.0,1.0,1.0,cv_0_task_1
Neural NPFP + MLPs (Classifier Chain),1.0,1.0,1.0,cv_0_task_2
Neural NPFP + MLPs (Classifier Chain),1.0,1.0,1.0,cv_0_task_3
Neural NPFP + MLPs (Classifier Chain),0.7142857142857143,0.7142857142857143,0.7142857142857143,cv_0_task_4
Neural NPFP + MLPs (Classifier Chain),0.8,0.6666666666666666,1.0,cv_0_task_5
Neural NPFP + MLPs (Classifier Chain),0.42857142857142855,0.42857142857142855,0.42857142857142855,cv_0_task_6
Neural NPFP + MLPs (Classifier Chain),0.0,0.0,0.0,cv_0_task_7
Neural NPFP + MLPs (Classifier Chain),0.5,0.3333333333333333,1.0,cv_0_task_8
Neural NPFP + MLPs (Classifier Chain),0.8799999999999999,0.8461538461538461,0.9166666666666666,cv_0_task_9
Neural NPFP + MLPs (Classifier Chain),0.0,0.0,0.0,cv_0_task_10
Neural NPFP + MLPs (Classifier Chain),0.5833333333333334,0.6363636363636364,0.5384615384615384,cv_0_task_11
Neural NPFP + MLPs (Classifier Chain),0.9565217391304347,0.9361702127659575,0.9777777777777777,cv_0_task_12
Neural NPFP + MLPs (Classifier Chain),0.9589041095890412,0.9722222222222222,0.9459459459459459,cv_0_task_13
Neural NPFP + MLPs (Classifier Chain),0.8235294117647058,0.9333333333333333,0.7368421052631579,cv_0_task_14
Neural NPFP + MLPs (Classifier Chain),0.8750000000000001,1.0,0.7777777777777778,cv_1_task_0
Neural NPFP + MLPs (Classifier Chain),1.0,1.0,1.0,cv_1_task_1
Neural NPFP + MLPs (Classifier Chain),0.8000000000000002,0.8,0.8,cv_1_task_2
Neural NPFP + MLPs (Classifier Chain),0.8000000000000002,0.8,0.8,cv_1_task_3
Neural NPFP + MLPs (Classifier Chain),0.6666666666666666,1.0,0.5,cv_1_task_4
Neural NPFP + MLPs (Classifier Chain),0.36363636363636365,0.6666666666666666,0.25,cv_1_task_5
